side,N,prec,iters,event,per_transform
yafft_v4,512,f64,585937,instructions,5374.8426383723845
fftw,1024,f64,292968,cycles,4006.842170475956
fftw,1024,f64,292968,fp_arith_inst_retired.128b_packed_double,0.0
fftw,1024,f64,292968,fp_arith_inst_retired.128b_packed_single,0.0
fftw,1024,f64,292968,fp_arith_inst_retired.256b_packed_double,9609.05762404085
fftw,1024,f64,292968,fp_arith_inst_retired.256b_packed_single,0.0
fftw,1024,f64,292968,fp_arith_inst_retired.512b_packed_double,0.0
fftw,1024,f64,292968,fp_arith_inst_retired.512b_packed_single,0.0
fftw,1024,f64,292968,fp_arith_inst_retired.scalar_double,1.0029696076021954
fftw,1024,f64,292968,fp_arith_inst_retired.scalar_single,0.0
fftw,1024,f64,292968,instructions,17736.921377078725
yafft_v2,1024,f64,292968,cycles,11185.695314846673
yafft_v2,1024,f64,292968,fp_arith_inst_retired.128b_packed_double,19444.59597976571
yafft_v2,1024,f64,292968,fp_arith_inst_retired.128b_packed_single,0.0
yafft_v2,1024,f64,292968,fp_arith_inst_retired.256b_packed_double,0.0
yafft_v2,1024,f64,292968,fp_arith_inst_retired.256b_packed_single,0.0
yafft_v2,1024,f64,292968,fp_arith_inst_retired.512b_packed_double,0.0
yafft_v2,1024,f64,292968,fp_arith_inst_retired.512b_packed_single,0.0
yafft_v2,1024,f64,292968,fp_arith_inst_retired.scalar_double,0.9998088528439966
yafft_v2,1024,f64,292968,fp_arith_inst_retired.scalar_single,0.0
yafft_v2,1024,f64,292968,instructions,53941.76669124273
yafft_v3,1024,f64,292968,cycles,8667.45135646214
yafft_v3,1024,f64,292968,fp_arith_inst_retired.128b_packed_double,1.3653368285956146e-05
yafft_v3,1024,f64,292968,fp_arith_inst_retired.128b_packed_single,0.0
yafft_v3,1024,f64,292968,fp_arith_inst_retired.256b_packed_double,9603.468634799705
yafft_v3,1024,f64,292968,fp_arith_inst_retired.256b_packed_single,0.0
yafft_v3,1024,f64,292968,fp_arith_inst_retired.512b_packed_double,0.0
yafft_v3,1024,f64,292968,fp_arith_inst_retired.512b_packed_single,0.0
yafft_v3,1024,f64,292968,fp_arith_inst_retired.scalar_double,1.0028876873924797
yafft_v3,1024,f64,292968,fp_arith_inst_retired.scalar_single,0.0
yafft_v3,1024,f64,292968,instructions,25401.616111657248
yafft_v4,1024,f64,292968,cycles,5157.487729035253
yafft_v4,1024,f64,292968,fp_arith_inst_retired.128b_packed_double,0.00011946697250211627
yafft_v4,1024,f64,292968,fp_arith_inst_retired.128b_packed_single,0.0
yafft_v4,1024,f64,292968,fp_arith_inst_retired.256b_packed_double,0.0
yafft_v4,1024,f64,292968,fp_arith_inst_retired.256b_packed_single,0.0
yafft_v4,1024,f64,292968,fp_arith_inst_retired.512b_packed_double,4903.571147702138
yafft_v4,1024,f64,292968,fp_arith_inst_retired.512b_packed_single,0.0
yafft_v4,1024,f64,292968,fp_arith_inst_retired.scalar_double,1.003399688703203
yafft_v4,1024,f64,292968,fp_arith_inst_retired.scalar_single,0.0
yafft_v4,1024,f64,292968,instructions,11134.421537505803
fftw,2048,f64,146484,cycles,10596.956138554382
fftw,2048,f64,146484,fp_arith_inst_retired.128b_packed_double,0.0
fftw,2048,f64,146484,fp_arith_inst_retired.128b_packed_single,0.0
fftw,2048,f64,146484,fp_arith_inst_retired.256b_packed_double,21607.39569509298
fftw,2048,f64,146484,fp_arith_inst_retired.256b_packed_single,0.0
