side,N,prec,iters,event,per_transform
fftw,4096,f64,100000,fp_arith_inst_retired.256b_packed_single,0.0
fftw,4096,f64,100000,fp_arith_inst_retired.512b_packed_double,0.0
fftw,4096,f64,100000,fp_arith_inst_retired.512b_packed_single,0.0
fftw,4096,f64,100000,fp_arith_inst_retired.scalar_double,0.99811
fftw,4096,f64,100000,fp_arith_inst_retired.scalar_single,0.0
fftw,4096,f64,100000,instructions,90735.12614
yafft_v2,4096,f64,100000,cycles,59217.1569
yafft_v2,4096,f64,100000,fp_arith_inst_retired.128b_packed_double,95231.95785
yafft_v2,4096,f64,100000,fp_arith_inst_retired.128b_packed_single,0.0
yafft_v2,4096,f64,100000,fp_arith_inst_retired.256b_packed_double,0.0
yafft_v2,4096,f64,100000,fp_arith_inst_retired.256b_packed_single,0.0
yafft_v2,4096,f64,100000,fp_arith_inst_retired.512b_packed_double,0.0
yafft_v2,4096,f64,100000,fp_arith_inst_retired.512b_packed_single,0.0
yafft_v2,4096,f64,100000,fp_arith_inst_retired.scalar_double,0.99856
yafft_v2,4096,f64,100000,fp_arith_inst_retired.scalar_single,0.0
yafft_v2,4096,f64,100000,instructions,282069.54362
yafft_v3,4096,f64,100000,cycles,53132.26589
yafft_v3,4096,f64,100000,fp_arith_inst_retired.128b_packed_double,1.27388
yafft_v3,4096,f64,100000,fp_arith_inst_retired.128b_packed_single,0.0
yafft_v3,4096,f64,100000,fp_arith_inst_retired.256b_packed_double,47106.10581
yafft_v3,4096,f64,100000,fp_arith_inst_retired.256b_packed_single,0.0
yafft_v3,4096,f64,100000,fp_arith_inst_retired.512b_packed_double,0.0
yafft_v3,4096,f64,100000,fp_arith_inst_retired.512b_packed_single,0.0
yafft_v3,4096,f64,100000,fp_arith_inst_retired.scalar_double,0.99474
yafft_v3,4096,f64,100000,fp_arith_inst_retired.scalar_single,0.0
yafft_v3,4096,f64,100000,instructions,127030.36209
yafft_v4,4096,f64,100000,cycles,29615.87121
yafft_v4,4096,f64,100000,fp_arith_inst_retired.128b_packed_double,0.0
yafft_v4,4096,f64,100000,fp_arith_inst_retired.128b_packed_single,0.0
yafft_v4,4096,f64,100000,fp_arith_inst_retired.256b_packed_double,0.0
yafft_v4,4096,f64,100000,fp_arith_inst_retired.256b_packed_single,0.0
yafft_v4,4096,f64,100000,fp_arith_inst_retired.512b_packed_double,22384.43916
yafft_v4,4096,f64,100000,fp_arith_inst_retired.512b_packed_single,0.0
yafft_v4,4096,f64,100000,fp_arith_inst_retired.scalar_double,1.00228
yafft_v4,4096,f64,100000,fp_arith_inst_retired.scalar_single,0.0
yafft_v4,4096,f64,100000,instructions,56897.99785
fftw,60,f32,5000000,cycles,163.2206936
fftw,60,f32,5000000,fp_arith_inst_retired.128b_packed_double,0.0
fftw,60,f32,5000000,fp_arith_inst_retired.128b_packed_single,64.078099
fftw,60,f32,5000000,fp_arith_inst_retired.256b_packed_double,0.0
fftw,60,f32,5000000,fp_arith_inst_retired.256b_packed_single,154.9941894
fftw,60,f32,5000000,fp_arith_inst_retired.512b_packed_double,0.0
fftw,60,f32,5000000,fp_arith_inst_retired.512b_packed_single,0.0
fftw,60,f32,5000000,fp_arith_inst_retired.scalar_double,-6e-07
fftw,60,f32,5000000,fp_arith_inst_retired.scalar_single,0.9990462
fftw,60,f32,5000000,instructions,868.1026658
yafft_v2,60,f32,5000000,cycles,402.0524302
yafft_v2,60,f32,5000000,fp_arith_inst_retired.128b_packed_double,-2e-07
yafft_v2,60,f32,5000000,fp_arith_inst_retired.128b_packed_single,403.7614754
yafft_v2,60,f32,5000000,fp_arith_inst_retired.256b_packed_double,0.0
yafft_v2,60,f32,5000000,fp_arith_inst_retired.256b_packed_single,0.0
yafft_v2,60,f32,5000000,fp_arith_inst_retired.512b_packed_double,0.0
yafft_v2,60,f32,5000000,fp_arith_inst_retired.512b_packed_single,0.0
yafft_v2,60,f32,5000000,fp_arith_inst_retired.scalar_double,-2.8e-06
yafft_v2,60,f32,5000000,fp_arith_inst_retired.scalar_single,49.0713626
yafft_v2,60,f32,5000000,instructions,2361.283137
yafft_v3,60,f32,5000000,cycles,501.9159164
yafft_v3,60,f32,5000000,fp_arith_inst_retired.128b_packed_double,0.0
yafft_v3,60,f32,5000000,fp_arith_inst_retired.128b_packed_single,0.0
yafft_v3,60,f32,5000000,fp_arith_inst_retired.256b_packed_double,0.0
yafft_v3,60,f32,5000000,fp_arith_inst_retired.256b_packed_single,161.9993914
yafft_v3,60,f32,5000000,fp_arith_inst_retired.512b_packed_double,0.0
yafft_v3,60,f32,5000000,fp_arith_inst_retired.512b_packed_single,0.0
yafft_v3,60,f32,5000000,fp_arith_inst_retired.scalar_double,0.0012006
yafft_v3,60,f32,5000000,fp_arith_inst_retired.scalar_single,552.397659
yafft_v3,60,f32,5000000,instructions,2701.4601336
yafft_v4,60,f32,5000000,cycles,171.9612272
yafft_v4,60,f32,5000000,fp_arith_inst_retired.128b_packed_double,0.0
yafft_v4,60,f32,5000000,fp_arith_inst_retired.128b_packed_single,0.0
yafft_v4,60,f32,5000000,fp_arith_inst_retired.256b_packed_double,0.0
yafft_v4,60,f32,5000000,fp_arith_inst_retired.256b_packed_single,0.0
yafft_v4,60,f32,5000000,fp_arith_inst_retired.512b_packed_double,0.0
